Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Zack Wheeler (40000),Zack Wheeler,40000,P,10800,PHI@SEA 07:05PM ET,PHI,21.3
SP,Chase Burns (40001),Chase Burns,40001,P,11000,CIN@SF 07:05PM ET,CIN,21.4
SP,Parker Messick (40002),Parker Messick,40002,P,9500,CLE@LAA 07:05PM ET,CLE,19.9
SP,Logan Gilbert (40003),Logan Gilbert,40003,P,9800,PHI@SEA 07:05PM ET,SEA,19.4
SP,Braxton Ashcraft (40004),Braxton Ashcraft,40004,P,10000,PIT@SD 07:05PM ET,PIT,19.3
SP,Robbie Ray (40005),Robbie Ray,40005,P,8000,PIT@SD 07:05PM ET,SD,14.6
SP,Kevin Gausman (40006),Kevin Gausman,40006,P,8500,ARI@CHC 07:05PM ET,CHC,14.1
SP,George Klassen (40007),George Klassen,40007,P,6500,CLE@LAA 07:05PM ET,LAA,11.8
SP,Jose Urquidy (40008),Jose Urquidy,40008,P,5500,CWS@TEX 07:05PM ET,CWS,6.5
SP,Carson Whisenhunt (40009),Carson Whisenhunt,40009,P,5000,CIN@SF 07:05PM ET,SF,6.3
SP,Kumar Rocker (40010),Kumar Rocker,40010,P,6200,CWS@TEX 07:05PM ET,TEX,11.8
OF,Pete Crow-Armstrong (40011),Pete Crow-Armstrong,40011,OF,6600,ARI@CHC 07:05PM ET,CHC,10.8
SP,Merrill Kelly (40012),Merrill Kelly,40012,P,6000,ARI@CHC 07:05PM ET,ARI,9.5
OF,Byron Buxton (40013),Byron Buxton,40013,OF,6000,MIN@OAK 07:05PM ET,MIN,8.9
SP,Jeffrey Springs (40014),Jeffrey Springs,40014,P,5300,MIN@OAK 07:05PM ET,OAK,8.3
SP,Zebby Matthews (40015),Zebby Matthews,40015,P,5700,MIN@OAK 07:05PM ET,MIN,12.8
1B/OF,Michael Busch (40016),Michael Busch,40016,1B/OF,4600,ARI@CHC 07:05PM ET,CHC,7.4
1B,Munetaka Murakami (40017),Munetaka Murakami,40017,1B,5700,CWS@TEX 07:05PM ET,CWS,9.1
OF,Seiya Suzuki (40018),Seiya Suzuki,40018,OF,5300,ARI@CHC 07:05PM ET,CHC,8.8
OF,Corbin Carroll (40019),Corbin Carroll,40019,OF,5500,ARI@CHC 07:05PM ET,ARI,8.9
C,Ryan Jeffers (40020),Ryan Jeffers,40020,C,5000,MIN@OAK 07:05PM ET,MIN,8.1
SS,Elly De La Cruz (40021),Elly De La Cruz,40021,SS,6100,CIN@SF 07:05PM ET,CIN,9.4
OF/3B,Ian Happ (40022),Ian Happ,40022,OF/3B,4300,ARI@CHC 07:05PM ET,CHC,7.5
SS,Zach Neto (40023),Zach Neto,40023,SS,4500,CLE@LAA 07:05PM ET,LAA,8.5
OF,Chase DeLauter (40024),Chase DeLauter,40024,OF,4500,CLE@LAA 07:05PM ET,CLE,8.0
OF,Luke Keaschall (40025),Luke Keaschall,40025,OF,4300,MIN@OAK 07:05PM ET,MIN,6.8
OF,Fernando Tatis Jr. (40026),Fernando Tatis Jr.,40026,OF,5900,PIT@SD 07:05PM ET,SD,9.1
SS,Corey Seager (40027),Corey Seager,40027,SS,4600,CWS@TEX 07:05PM ET,TEX,7.2
3B/SS,Jose Ramirez (40028),Jose Ramirez,40028,3B/SS,5200,CLE@LAA 07:05PM ET,CLE,8.5
OF,Steven Kwan (40029),Steven Kwan,40029,OF,3500,CLE@LAA 07:05PM ET,CLE,6.2
1B,Sal Stewart (40030),Sal Stewart,40030,1B,5200,CIN@SF 07:05PM ET,CIN,8.8
OF,Wyatt Langford (40031),Wyatt Langford,40031,OF,5100,CWS@TEX 07:05PM ET,TEX,8.1
1B,Royce Lewis (40032),Royce Lewis,40032,1B,4900,MIN@OAK 07:05PM ET,MIN,7.3
OF,Lawrence Butler (40033),Lawrence Butler,40033,OF,4200,MIN@OAK 07:05PM ET,OAK,5.6
