Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
P,Kevin Silva (1000),Kevin Silva,1000,P,9152,NYY@BOS 07:05PM ET,NYY,20.7
P,Marcus Nunez (1001),Marcus Nunez,1001,P,6975,NYY@BOS 07:05PM ET,NYY,15.6
C,Adam Hall (1002),Adam Hall,1002,C,4757,NYY@BOS 07:05PM ET,NYY,7.3
C,Kevin Nunez (1003),Kevin Nunez,1003,C,2753,NYY@BOS 07:05PM ET,NYY,4.6
1B,Adam Bell (1004),Adam Bell,1004,1B,3986,NYY@BOS 07:05PM ET,NYY,6.3
1B,Eric Knight (1005),Eric Knight,1005,1B,5139,NYY@BOS 07:05PM ET,NYY,9.1
2B,Tyler Lane (1006),Tyler Lane,1006,2B,5586,NYY@BOS 07:05PM ET,NYY,9.4
2B,Jake Stone (1007),Jake Stone,1007,2B,3536,NYY@BOS 07:05PM ET,NYY,6.5
3B,Trey Ortiz (1008),Trey Ortiz,1008,3B,3099,NYY@BOS 07:05PM ET,NYY,4.0
3B,Luis Ortiz (1009),Luis Ortiz,1009,3B,5537,NYY@BOS 07:05PM ET,NYY,7.0
SS/3B,Cole Knight (1010),Cole Knight,1010,SS/3B,4668,NYY@BOS 07:05PM ET,NYY,5.9
SS,Tyler Bell (1011),Tyler Bell,1011,SS,5450,NYY@BOS 07:05PM ET,NYY,9.4
OF,Tony Pratt (1012),Tony Pratt,1012,OF,6452,NYY@BOS 07:05PM ET,NYY,10.7
OF,Kevin Grant (1013),Kevin Grant,1013,OF,3129,NYY@BOS 07:05PM ET,NYY,6.1
OF,Dave Foster (1014),Dave Foster,1014,OF,4245,NYY@BOS 07:05PM ET,NYY,7.4
OF,Kevin Cole (1015),Kevin Cole,1015,OF,4069,NYY@BOS 07:05PM ET,NYY,7.7
OF,Adam Diaz (1016),Adam Diaz,1016,OF,3555,NYY@BOS 07:05PM ET,NYY,4.3
P,Luis Brooks (1017),Luis Brooks,1017,P,9524,NYY@BOS 07:05PM ET,BOS,19.3
P,Trey Cruz (1018),Trey Cruz,1018,P,6942,NYY@BOS 07:05PM ET,BOS,13.3
C,Marcus Reyes (1019),Marcus Reyes,1019,C,2924,NYY@BOS 07:05PM ET,BOS,4.6
C,Alex Lane (1020),Alex Lane,1020,C,4960,NYY@BOS 07:05PM ET,BOS,6.2
1B,Kevin Brooks (1021),Kevin Brooks,1021,1B,2904,NYY@BOS 07:05PM ET,BOS,3.7
1B,Tyler Stone (1022),Tyler Stone,1022,1B,4742,NYY@BOS 07:05PM ET,BOS,6.2
2B,Jose Diaz (1023),Jose Diaz,1023,2B,4203,NYY@BOS 07:05PM ET,BOS,7.8
2B,Alex Cain (1024),Alex Cain,1024,2B,4281,NYY@BOS 07:05PM ET,BOS,5.7
3B,Tony Reed (1025),Tony Reed,1025,3B,5651,NYY@BOS 07:05PM ET,BOS,11.1
3B,Trey Vance (1026),Trey Vance,1026,3B,4150,NYY@BOS 07:05PM ET,BOS,7.4
SS,Andre Torres (1027),Andre Torres,1027,SS,3728,NYY@BOS 07:05PM ET,BOS,5.1
SS,Tyler Barnes (1028),Tyler Barnes,1028,SS,3593,NYY@BOS 07:05PM ET,BOS,6.6
OF,Cole Vance (1029),Cole Vance,1029,OF,3503,NYY@BOS 07:05PM ET,BOS,4.6
OF,Cole Silva (1030),Cole Silva,1030,OF,5099,NYY@BOS 07:05PM ET,BOS,10.4
OF,Jose Cain (1031),Jose Cain,1031,OF,3091,NYY@BOS 07:05PM ET,BOS,6.5
OF,Andre Grant (1032),Andre Grant,1032,OF,5204,NYY@BOS 07:05PM ET,BOS,8.0
OF,Dave Torres (1033),Dave Torres,1033,OF,3250,NYY@BOS 07:05PM ET,BOS,4.5
P,Will Stone (1034),Will Stone,1034,P,7697,TB@TOR 07:05PM ET,TB,15.6
P,Andre Silva (1035),Andre Silva,1035,P,7573,TB@TOR 07:05PM ET,TB,12.2
C,Marcus Torres (1036),Marcus Torres,1036,C,3297,TB@TOR 07:05PM ET,TB,6.1
C,Eric Foster (1037),Eric Foster,1037,C,4902,TB@TOR 07:05PM ET,TB,7.2
1B,Jake Foster (1038),Jake Foster,1038,1B,4676,TB@TOR 07:05PM ET,TB,8.4
