Name,Proj,Ceiling,Floor,Ownership
Kevin Silva,20.7,27.5,11.3,5.1
Marcus Nunez,15.6,21.1,6.6,9.9
Adam Hall,7.3,15.8,2.8,17.9
Kevin Nunez,4.6,10.0,1.0,25.9
Adam Bell,6.3,12.3,2.5,4.0
Eric Knight,9.1,14.1,2.0,7.0
Tyler Lane,9.4,21.0,2.9,8.2
Jake Stone,6.5,14.3,2.7,9.4
Trey Ortiz,4.0,6.5,1.4,2.1
Luis Ortiz,7.0,14.4,2.6,17.8
Cole Knight,5.9,12.0,1.3,21.3
Tyler Bell,9.4,19.5,4.4,11.1
Tony Pratt,10.7,17.2,2.3,27.1
Kevin Grant,6.1,14.2,2.1,6.7
Dave Foster,7.4,16.9,2.1,15.1
Kevin Cole,7.7,12.6,1.9,8.9
Adam Diaz,4.3,7.5,0.9,15.2
Luis Brooks,19.3,33.1,8.8,22.4
Trey Cruz,13.3,23.7,5.6,15.2
Marcus Reyes,4.6,10.1,1.5,4.2
Alex Lane,6.2,10.0,1.4,11.5
Kevin Brooks,3.7,7.4,1.8,18.5
Tyler Stone,6.2,11.7,1.4,4.0
Jose Diaz,7.8,14.9,2.0,28.6
Alex Cain,5.7,11.0,2.8,26.0
Tony Reed,11.1,23.5,4.0,23.6
Trey Vance,7.4,15.9,3.3,22.5
Andre Torres,5.1,11.7,2.2,14.7
Tyler Barnes,6.6,15.1,3.2,11.6
Cole Vance,4.6,8.3,1.6,34.5
Cole Silva,10.4,18.8,4.1,29.4
Jose Cain,6.5,10.9,3.0,15.8
Andre Grant,8.0,15.3,3.4,3.9
Dave Torres,4.5,7.4,2.1,28.4
Will Stone,15.6,26.4,6.3,20.1
Andre Silva,12.2,16.6,6.4,6.6
Marcus Torres,6.1,10.2,1.8,8.0
Eric Foster,7.2,15.0,1.6,22.5
Jake Foster,8.4,18.2,3.9,4.8
Trey Diaz,5.7,11.3,2.5,5.3
Eric Nunez,5.5,9.7,2.0,17.1
Jordan Cole,11.4,18.8,2.4,3.8
Chris Price,7.9,13.9,3.9,18.6
Eric Stone,6.6,12.6,1.8,16.2
Marcus Price,7.8,12.6,1.8,13.8
Marcus Cruz,5.6,9.8,1.3,23.5
Miguel Reed,12.4,20.2,5.8,33.9
Mike Grant,6.8,15.6,1.7,23.7
Brian Ross,4.8,8.9,1.6,13.1
Alex Ortiz,5.7,11.4,1.9,1.6
Sam Ross,6.8,16.1,1.6,32.2
Mike Reyes,19.1,27.9,6.0,27.7
Brian Cruz,18.6,33.3,7.0,6.9
Jose Ortiz,7.6,11.9,1.7,21.0
Nick Torres,8.1,15.7,3.6,3.4
Tyler Torres,4.7,8.3,1.7,27.9
Ryan Hall,6.9,15.7,1.9,6.3
Marcus Bell,7.2,13.4,2.9,8.8
Alex Torres,7.4,15.4,2.7,6.5
Miguel Silva,6.7,12.4,2.3,25.2
Marcus Cole,9.1,16.1,4.1,21.5
Jordan Brooks,7.2,10.9,2.8,26.5
Jake Cruz,6.1,13.9,2.3,21.1
Tony Ward,4.6,8.7,1.3,33.7
Jordan Bell,7.4,12.6,1.9,12.4
Jake Silva,4.9,8.2,1.7,1.2
Dave Grant,7.4,15.0,2.4,11.2
Adam Ross,7.4,16.8,1.8,31.4
Andre Stone,20.7,28.8,10.7,23.2
Jose Ross,14.9,25.0,7.8,28.8
Trey Ross,5.9,11.2,2.6,1.5
Jose Cruz,9.0,19.5,3.5,3.5
Tyler Marsh,3.9,6.0,0.8,16.4
Andre Ross,6.2,13.8,1.4,16.3
Chris Ward,10.9,18.4,4.7,7.7
Kevin Reyes,11.4,21.5,4.6,23.2
Dave Ortiz,9.4,16.0,4.0,9.8
Cole Ward,6.8,15.5,1.6,7.3
Tyler Price,7.0,13.1,1.6,26.9
Alex Bell,5.4,10.1,2.4,29.1
Kevin Vance,9.7,22.6,4.6,3.5
